name,latitude,longitude,country,location,time,classification
IMG_4774.jpg,51.214000000000006,-0.7994666666666667,United Kingdom,Farnham,2022:08:18 17:08:18,street
IMG_4789.jpg,51.17889722222222,-1.8265777777777779,United Kingdom,,2022:08:21 11:33:53,mountain
IMG_4792.jpg,51.17829166666667,-1.8265583333333333,United Kingdom,,2022:08:21 11:38:13,sea
IMG_4806.jpg,51.065688888888886,-1.7980555555555555,United Kingdom,Salisbury,2022:08:21 15:02:11,mountain
IMG_4903.jpg,51.53296388888889,-0.10099444444444446,United Kingdom,London,2022:09:04 15:36:51,mountain
IMG_4905.jpg,51.533027777777775,-0.10133055555555556,United Kingdom,London,2022:09:04 15:37:25,mountain
IMG_4974.jpg,50.98856666666667,-0.6114027777777777,United Kingdom,Petworth,2022:09:11 16:16:00,buildings
IMG_4995.jpg,51.21953888888889,-0.7806333333333334,United Kingdom,Farnham,2022:09:15 14:46:16,buildings
IMG_5413.jpg,51.21381111111111,-0.7999194444444444,United Kingdom,Farnham,2022:11:03 10:26:27,street
IMG_5480.jpg,51.21401666666667,-0.7996277777777778,United Kingdom,Farnham,2022:11:06 16:04:24,sea
IMG_5515.jpg,51.50002777777778,-0.12005833333333334,United Kingdom,London,2022:11:10 18:42:21,buildings
IMG_5822.JPG,57.95268333333333,19.07898611111111,Sverige,,2015:07:31 15:04:56,mountain
IMG_5823.JPG,57.997197222222226,19.17998888888889,Sverige,,2015:07:31 13:28:14,sea
IMG_6451.JPG,45.49247777777778,10.608030555555555,Italia,Sirmione,2015:10:30 12:42:29,sea
IMG_6511.JPG,45.47098611111111,10.540388888888888,Italia,Desenzano del Garda,2015:11:01 10:19:27,buildings
IMG_6515.JPG,45.469794444444446,10.538577777777778,Italia,Desenzano del Garda,2015:11:01 11:49:41,buildings
IMG_7465.JPG,47.125769444444444,10.22493888888889,Österreich,,2016:04:08 11:16:42,glacier
IMG_8168.JPG,36.71910833333334,-4.419994444444445,España,Málaga,2016:07:17 22:01:53,buildings
IMG_E2796.JPG,59.34726666666667,18.03093611111111,Sverige,Stockholm,2023:02:13 10:56:56,street
IMG_E2797.JPG,59.34728888888889,18.030777777777775,Sverige,Stockholm,2023:02:13 10:57:06,buildings
IMG_E2798.JPG,59.347255555555556,18.031138888888886,Sverige,Stockholm,2023:02:13 10:57:18,sea
IMG_E2799.JPG,59.347255555555556,18.031138888888886,Sverige,Stockholm,2023:02:13 10:57:26,buildings
italia.JPG,45.44134444444444,12.32305,Italia,Mestre,2021:11:07 10:29:34,glacier
kopenhamn.JPG,55.678824999999996,12.578819444444445,Danmark,København,2022:05:21 23:43:59,street
london.JPG,51.49420555555556,-0.23700833333333335,United Kingdom,London,2022:11:12 08:53:56,street
monaco.JPG,43.73325833333333,7.419930555555556,Monaco,Monaco,2019:04:08 12:20:22,street
moskva.JPG,55.75299444444445,37.62209722222222,Россия,Москва,2018:06:25 18:54:01,buildings
nice.JPG,43.694325,7.261458333333334,France,Nice,2019:04:08 17:27:55,street
norge.JPG,59.03368333333333,6.593530555555556,Norge,,2022:08:15 11:04:17,buildings
prag.JPG,50.092025,14.406422222222222,,Hlavní město Praha,2018:09:23 11:22:01,mountain
skane.JPG,55.33758888888889,13.347958333333334,Sverige,,2022:08:25 12:32:09,mountain
sthlm.JPG,59.34546944444445,18.032780555555554,Sverige,Stockholm,2023:02:09 12:34:39,buildings
